Hero,Presence,Win Rate,KDA Ratio,GPM,XPM,Roles
Legion Commander,0.0,0.4903828156281072,2.6512381513098413,396.14376254103763,494.9569267009091,2
Vengeful Spirit,0.0,0.5148619544282492,3.307109293554231,460.8103296377226,555.6666037934907,2
Phantom Lancer,0.0,0.49230776569924883,2.6577575863424703,442.8758859764951,508.6261926839379,2
Ogre Magi,0.0,0.510729263250205,2.750014440593783,372.63566129700496,464.56494253419584,2
Lion,0.0,0.5046517969871575,2.6622473231651074,390.034713315893,489.35043039647405,2
Luna,0.0,0.47953635118203647,2.657858807863341,427.1129037173946,505.7895513358499,2
Elder Titan,0.0,0.4983820669048637,2.6605016237175674,499.74709655877933,531.4907944554305,2
Enchantress,0.0,0.493717282655711,2.9153665743924266,434.5788432936666,525.4750221354859,2
Snapfire,0.0,0.4985038381387709,2.7552830406826763,419.01042056291635,510.3838208597284,2
Nature's Prophet,0.0,0.4974069232203081,2.685404707231269,395.04840704378654,490.6983328855907,2
Beastmaster,0.0,0.5026703703611223,2.734859060135896,418.73880508627775,506.393460310321,2
Anti-Mage,0.0,0.4918509295513087,2.626698538006731,405.59204805952874,506.58815815651843,2
Axe,0.0,0.4992057143370123,2.7113969781737706,426.75601790051286,514.5996405269933,2
Crystal Maiden,0.0,0.4914415271254566,2.650683881078094,422.7769646652838,501.86872638568,2
Juggernaut,0.0,0.49836284639122747,2.7760735698068655,432.3215489424987,523.8899671654605,2
Sand King,0.0,0.49697888842164606,2.6528764805623544,461.43605266048775,568.9019161797708,2
Sven,0.0,0.5058294928264768,2.758519522634831,423.29484197504365,515.7890848800463,2
Lich,0.0,0.5050615454245286,2.790427281428418,442.55699181942947,532.8529446090364,2
Shadow Shaman,0.0,0.5069772714355747,2.6997405066422773,385.1893861506125,476.62407249523073,2
Slardar,0.0,0.5105905568166055,2.8238559151600637,410.2018307731383,504.9167006656101,2
Tidehunter,0.0,0.5008048800886442,2.5648390584217466,356.4449539845324,452.23380574446776,2
Witch Doctor,0.0,0.4995303010146714,2.6676932079556557,397.1902561958347,500.0275711057897,2
Enigma,0.0,0.5090043383652072,2.780074736345224,411.45037137297675,500.3429355882713,2
Warlock,0.0,0.5003234725543192,2.717452948099098,408.8781798832329,500.60436551081176,2
Faceless Void,0.0,0.5092739030866372,2.666064892754114,404.81480368505083,495.5836471381291,2
Wraith King,0.0,0.5066546349163847,2.8516680212952075,435.68898916195184,532.7210240602159,2
Dazzle,0.0,0.5008787750310123,2.6830211802658073,399.77406652411247,492.9109706841411,2
Clockwerk,0.0,0.504279516885833,2.6585631442273234,445.8641491846879,533.3168129606075,2
Lifestealer,0.0,0.5114624238150878,2.7282520218227972,401.8857612887905,499.02205490028666,2
Dark Seer,0.0,0.508829356276756,2.7773288563439626,428.1890043622403,517.1188282546158,2
Omniknight,0.0,0.49679734703938233,2.6485468381971526,429.38229044630947,523.5473177225994,2
Jakiro,0.0,0.5050662143169568,2.659334194139711,414.0581555689274,513.9672204314709,2
Chen,0.0,0.5054459979941871,2.722354041607884,415.9867752848722,509.8121201077859,2
Spectre,0.0,0.5002344336106473,2.8092606594207092,449.923441574571,530.8092952840668,2
Doom,0.0,0.4936359156351083,2.6202038698307186,397.0676081483263,492.47559519240485,2
Ancient Apparition,0.0,0.5029136346079143,2.7840743668895684,416.4796425822098,514.5983439812254,2
Chaos Knight,0.0,0.5211024201550132,2.7719583379373516,417.8787016721379,515.2320226812466,2
Treant Protector,0.0,0.5068951702486666,2.7495783817387047,442.4799202399619,514.8862604160415,2
Undying,0.0,0.5047876887355885,2.7657510144449584,387.23004017909483,486.05776765240563,2
Disruptor,0.0,0.49450613888476436,2.7111048478592266,370.38988131434945,471.7958011441744,2
Keeper of the Light,0.0,0.5034602595018736,2.7433566252445867,418.8632112280039,509.86637713566284,2
Slark,0.0,0.5060958643671255,2.801125779223996,444.8550530737037,524.1962898254872,2
Centaur Warrunner,0.0,0.498313029801836,2.6449841686396183,394.11916460141066,487.0673280468564,2
Bristleback,0.0,0.4934287460444603,2.7019046616372484,429.1870900831257,535.337619265623,2
Abaddon,0.0,0.5090202777780809,2.647613264115629,405.50735866269093,503.10166717277343,2
Underlord,0.0,0.503503220220363,2.755572212776886,419.7060954262785,521.2247302915987,2
Terrorblade,0.0,0.5001525818231973,2.934508138543557,425.4670712261591,528.9288867611824,2
Phoenix,0.0,0.5035639617408395,2.6332200390002805,399.0885353719632,494.1874975479513,2
Oracle,0.0,0.49587897552558585,2.8948910886511743,427.9501411112168,541.2942896844685,2
Grimstroke,0.0,0.5057896859536546,2.873931227797784,416.65223113724636,528.9128239365567,2
Centaur Warrunner,0.8771,0.5305,2.8,416.0,516.0,3
Mars,0.8679000000000001,0.4865,2.8,418.0,553.0,3
Underlord,0.8569,0.5621,2.85,422.0,518.0,3
